match_id,over,ball,batsman,bowler,batsman_runs,extra_runs,total_runs,dismissal_kind,player_dismissed
1003,17,2,Rinku Singh,Ravindra Jadeja,1,0,1,,
1003,17,3,Hardik Pandya,Ravindra Jadeja,1,0,1,,
1003,17,4,Heinrich Klaasen,Ravindra Jadeja,6,0,6,,
1003,17,5,MS Dhoni,Ravindra Jadeja,4,0,4,,
1003,17,6,Ruturaj Gaikwad,Ravindra Jadeja,1,0,1,,
1003,18,1,Rinku Singh,Mitchell Starc,6,0,6,,
1003,18,2,Hardik Pandya,Mitchell Starc,0,0,0,lbw,Hardik Pandya
1003,18,3,Heinrich Klaasen,Mitchell Starc,4,0,4,,
1003,18,4,MS Dhoni,Mitchell Starc,6,0,6,,
1003,18,5,Ruturaj Gaikwad,Mitchell Starc,1,0,1,,
1003,18,6,Rinku Singh,Mitchell Starc,1,0,1,,
1003,19,1,Heinrich Klaasen,Yuzvendra Chahal,4,0,4,,
1003,19,2,MS Dhoni,Yuzvendra Chahal,6,0,6,,
1003,19,3,Ruturaj Gaikwad,Yuzvendra Chahal,2,0,2,,
1003,19,4,Rinku Singh,Yuzvendra Chahal,1,0,1,,
1003,19,5,Heinrich Klaasen,Yuzvendra Chahal,0,0,0,bowled,Heinrich Klaasen
1003,19,6,MS Dhoni,Yuzvendra Chahal,4,0,4,,
1004,15,1,Rinku Singh,Jasprit Bumrah,1,0,1,,
1004,15,2,Hardik Pandya,Jasprit Bumrah,2,0,2,,
1004,15,3,Heinrich Klaasen,Jasprit Bumrah,0,0,0,,
1004,15,4,Virat Kohli,Jasprit Bumrah,4,0,4,,
1004,15,5,MS Dhoni,Jasprit Bumrah,1,0,1,,
1004,15,6,Ruturaj Gaikwad,Jasprit Bumrah,1,0,1,,
1004,16,1,Rinku Singh,Rashid Khan,1,0,1,,
1004,16,2,Hardik Pandya,Rashid Khan,0,0,0,caught,Hardik Pandya
1004,16,3,Heinrich Klaasen,Rashid Khan,6,0,6,,
1004,16,4,Virat Kohli,Rashid Khan,2,0,2,,
1004,16,5,MS Dhoni,Rashid Khan,4,0,4,,
1004,16,6,Ruturaj Gaikwad,Rashid Khan,1,0,1,,
1004,17,1,Rinku Singh,Ravindra Jadeja,4,0,4,,
1004,17,2,Heinrich Klaasen,Ravindra Jadeja,1,0,1,,
1004,17,3,Virat Kohli,Ravindra Jadeja,1,0,1,,
1004,17,4,MS Dhoni,Ravindra Jadeja,6,0,6,,
1004,17,5,Ruturaj Gaikwad,Ravindra Jadeja,2,0,2,,
1004,17,6,Rinku Singh,Ravindra Jadeja,0,0,0,run out,Rinku Singh
1004,18,1,Heinrich Klaasen,Mitchell Starc,4,0,4,,
1004,18,2,Virat Kohli,Mitchell Starc,1,0,1,,
1004,18,3,MS Dhoni,Mitchell Starc,4,0,4,,
1004,18,4,Ruturaj Gaikwad,Mitchell Starc,6,0,6,,
1004,18,5,Heinrich Klaasen,Mitchell Starc,1,0,1,,
1004,18,6,Virat Kohli,Mitchell Starc,0,0,0,bowled,Virat Kohli
1004,19,1,MS Dhoni,Yuzvendra Chahal,6,0,6,,
1004,19,2,Ruturaj Gaikwad,Yuzvendra Chahal,1,0,1,,
1004,19,3,Heinrich Klaasen,Yuzvendra Chahal,4,0,4,,
1004,19,4,MS Dhoni,Yuzvendra Chahal,2,0,2,,
1004,19,5,Ruturaj Gaikwad,Yuzvendra Chahal,6,0,6,,
1004,19,6,Heinrich Klaasen,Yuzvendra Chahal,1,0,1,,
